---config@码表分类=主码-6
---config@允许编辑=是
---config@码表别名=系统简词
圣朝无阙事	uiwquya#序55000
自觉谏书稀	zjjuxph#序55000
吾爱孟夫子	wamfzwv#序55000
风流天下闻	fltxwjm#序55000
红颜弃轩冕	hyqxmso#序55000
红颜弃轩冕	hyqxmsk#序55000
白首卧松云	buwsype#序55000
醉月频中圣	zypvuyy#序55000
迷花不事君	mhbujzy#序55000
高山安可仰	guakywr#序55000
徒此揖清芬	tcyqfic#序55000
渡荆门送别	djmsbdk#序55000
来从楚国游	lcigyad#序55000
月下飞天镜	yxftjkj#序55000
青山横北郭	quhbgfw#序55000
白水绕东城	burdipt#序55000
此地一为别	cdywbvk#序55000
孤蓬万里征	gpwlvzi#序55000
浮云游子意	fyyzydl#序55000
落日故人情	lrgrqcx#序55000
挥手自兹去	huzzqft#序55000
萧萧班马鸣	xxbmmck#序55000
蜀僧抱绿绮	usblqss#序55000
西下峨嵋峰	xxemfae#序55000
为我一挥手	wwyhudp#序55000
如听万壑松	rtwhsnm#序55000
客心洗流水	kxxlubl#序55000
余响入霜钟	yxruvrj#序55000
不觉碧山暮	bjbumac#序55000
秋云暗几重	qyajvhp#序55000
牛渚西江夜	nvxjypw#序55000
青天无片云	qtwpyfe#序55000
登舟望秋月	dvwqyvk#序55000
空忆谢将军	kyxjjbb#序55000
余亦能高咏	yyngyrk#序55000
斯人不可闻	srbkwqm#序55000
明朝挂帆去	migfqot#序55000
枫叶落纷纷	fylffms#序55000
国破山河在	gpuhzku#序55000
城春草木深	iicmutd#序55000
恨别鸟惊心	hbnjxxd#序55000
烽火连三月	fhlsyhk#序55000
白头搔更短	btsgdpu#序55000
浑欲不胜簪	hybuzdv#序55000
今夜鄜州月	jyfvyrk#序55000
闺中只独看	gvvdkmu#序55000
遥怜小儿女	ylxenzv#序55000
未解忆长安	wjyiaab#序55000
香雾云鬟湿	xwyhuhd#序55000
清辉玉臂寒	qhybhdb#序55000
何时倚虚幌	huyxhrj#序55000
双照泪痕干	uvlhgya#序55000
花隐掖垣暮	hyyymcc#序55000
啾啾栖鸟过	jjqngkz#序55000
星临万户动	xlwhdoe#序55000
月傍九霄多	ybjxdkx#序55000
不寝听金钥	bqtjyaj#序55000
因风想玉珂	yfxykkw#序55000
明朝有封事	miyfuoa#序55000
数问夜如何	uwyrhmr#序55000
此道昔归顺	cdxguvi#序55000
西郊胡正繁	xjhvfap#序55000
